,citedby,year,,
1,414,2002,,
1,235,2005,,
1,129,2000,,
1,128,2005,,
1,125,2005,,
1,52,2006,,
1,42,1995,,
1,39,2001,,
1,34,2011,,
1,33,2000,,
1,30,2007,,
1,29,2000,,
1,28,2000,,
1,20,2009,,
1,20,2003,,
1,18,1995,,
1,18,1995,,
1,16,1995,,
1,15,1989,,
1,14,2011,,
1,12,2011,,
1,12,2004,,
1,12,1998,,
1,12,1989,,
1,11,1994,,
1,10,1998,,
1,10,1996,,
1,9,2012,,
1,9,2010,,
1,9,2006,,
1,9,1996,,
1,8,1999,,
1,8,1995,,
1,8,1995,,
1,7,2009,,
1,7,2002,,
1,7,1999,,
1,7,1997,,
1,6,2011,,
1,6,2011,,
1,6,1999,,
1,6,1997,,
1,6,1992,,
1,5,2003,,
1,5,2002,,
1,4,2011,,
1,4,2009,,
1,4,2006,,
1,4,2005,,
1,4,1995,,
1,3,2013,,
1,3,2011,,
1,3,2011,,
1,3,2010,,
1,3,2009,,
1,3,2006,,
1,3,2003,,
1,3,2003,,
1,3,2003,,
1,3,1994,,
1,3,1989,,
1,2,2015,,
1,2,2014,,
1,2,2012,,
1,2,2009,,
1,2,2009,,
1,2,2007,,
1,2,2007,,
1,2,2005,,
1,2,2003,,
1,2,1998,,
1,2,1996,,
1,1,2016,,
1,1,2015,,
1,1,2014,,
1,1,2014,,
1,1,2011,,
1,1,2011,,
1,1,2009,,
1,1,2007,,
1,1,2007,,
1,1,2006,,
1,1,2005,,
1,1,2004,,
1,1,2003,,
1,1,2003,,
1,1,2001,,
1,1,2001,,
1,1,1997,,
1,1,1995,,
1,1,1992,,
1,,2018,,
1,,2018,,
1,,2018,,
1,,2017,,
1,,2017,,
1,,2017,,
1,,2016,,
1,,2016,,
1,,2015,,
1,,2015,,
1,,2015,,
1,,2015,,
1,,2015,,
1,,2015,,
1,,2015,,
1,,2015,,
1,,2015,,
1,,2015,,
1,,2014,,
1,,2013,,
1,,2013,,
1,,2013,,
1,,2013,,
1,,2012,,
1,,2012,,
1,,2012,,
1,,2012,,
1,,2011,,
1,,2011,,
1,,2011,,
1,,2011,,
1,,2011,,
1,,2011,,
1,,2011,,
1,,2010,,
1,,2009,,
1,,2009,,
1,,2009,,
1,,2009,,
1,,2009,,
1,,2007,,
1,,2007,,
1,,2007,,
1,,2007,,
1,,2007,,
1,,2006,,
1,,2006,,
1,,2006,,
1,,2006,,
1,,2006,,
1,,2006,,
1,,2006,,
1,,2006,,
1,,2006,,
1,,2005,,
1,,2005,,
1,,2005,,
1,,2005,,
1,,2005,,
1,,2005,,
1,,2005,,
1,,2004,,
1,,2004,,
1,,2004,,
1,,2004,,
1,,2004,,
1,,2003,,
1,,2003,,
1,,2003,,
1,,2003,,
1,,2003,,
1,,2003,,
1,,2003,,
1,,2003,,
1,,2002,,
1,,2002,,
1,,2002,,
1,,2002,,
1,,2002,,
1,,2002,,
1,,2002,,
1,,2002,,
1,,2002,,
1,,2002,,
1,,2002,,
1,,2002,,
1,,2001,,
1,,2001,,
1,,2000,,
1,,2000,,
1,,2000,,
1,,2000,,
1,,2000,,
1,,2000,,
1,,1999,,
1,,1999,,
1,,1999,,
1,,1999,,
1,,1999,,
1,,1998,,
1,,1998,,
1,,1998,,
1,,1998,,
1,,1998,,1
1,,1998,,
1,,1998,,
1,,1997,,
1,,1997,,
1,,1997,,
2,3844,2009,,
2,3714,2004,,
2,2009,2008,,
2,1857,2004,,
2,1574,2010,,
2,1483,2006,,
2,1263,2001,,
2,1205,2006,,
2,1110,2004,,
2,1086,2001,,
2,1032,2003,,
2,768,2005,,
2,654,2007,,
2,651,2010,,
2,543,2006,,
2,537,2003,,
2,338,2005,,
2,335,2003,,
2,308,2007,,
2,263,2004,,
2,260,2010,,
2,251,2003,,
2,244,2004,,
2,238,2003,,
2,236,2007,,
2,219,2005,,
2,213,2005,,
2,199,2002,,
2,170,2011,,
2,161,2003,,
2,156,2010,,
2,144,2000,,
2,138,2004,,
2,133,2004,,
2,122,2005,,
2,112,2007,,
2,100,2001,,
2,99,2010,,
2,97,2008,,
2,91,2006,,
2,81,2010,,
2,81,2004,,
2,81,2002,,
2,79,2013,,
2,79,2001,,
2,75,2014,,
2,75,2000,,
2,74,2007,,
2,70,2005,,
2,62,2009,,
2,61,2010,,
2,58,2005,,
2,57,2004,,
2,55,2007,,
2,54,2007,,
2,52,2012,,
2,52,,,
2,43,2012,,
2,39,2003,,
2,36,2005,,
2,35,2009,,
2,35,2009,,
2,35,2005,,
2,32,2007,,
2,29,2003,,
2,28,2016,,
2,28,2003,,
2,27,2009,,
2,26,2011,,
2,26,2006,,
2,25,2004,,
2,22,2012,,
2,22,2002,,
2,21,2013,,
2,20,2010,,
2,20,2007,,
2,20,2004,,
2,19,2010,,
2,19,2004,,
2,18,2014,,
2,18,2009,,
2,18,2007,,
2,18,2005,,
2,17,2016,,
2,17,2007,,
2,17,2004,,
2,16,2010,,
2,15,2016,,
2,15,2015,,
2,15,2014,,
2,14,2005,,
2,13,2011,,
2,13,2010,,
2,13,2010,,
2,13,2007,,
2,13,2004,,
2,13,2001,,
2,12,2013,,
2,12,2012,,
2,12,2011,,
2,12,2011,,
2,12,2009,,
2,12,2009,,
2,11,2015,,
2,11,2013,,
2,11,2012,,
2,11,2007,,
2,9,2002,,
2,8,2017,,
2,8,2006,,
2,8,2005,,
2,7,2012,,
2,7,2011,,
2,7,2004,,
2,6,2016,,
2,6,2015,,
2,6,2005,,
2,5,2014,,
2,5,2013,,
2,5,2013,,
2,5,2012,,
2,5,2012,,
2,5,2011,,
2,4,2014,,
2,4,2014,,
2,4,2014,,
2,4,2013,,
2,4,2013,,
2,4,2008,,
2,3,2016,,
2,3,2016,,
2,3,2015,,
2,3,2014,,
2,3,2013,,
2,3,2013,,
2,3,2012,,
2,3,2011,,
2,3,2008,,
2,3,2004,,
2,3,2002,,
2,3,1999,,
2,2,2017,,
2,2,2017,,
2,2,2017,,
2,2,2016,,
2,2,2013,,
2,2,2012,,
2,2,2012,,
2,2,2011,,
2,2,2011,,
2,2,2008,,
2,2,2007,,
2,2,2007,,
2,2,2002,,
2,2,2001,,
2,1,2017,,
2,1,2017,,
2,1,2016,,
2,1,2015,,
2,1,2013,,
2,1,2012,,
2,1,2011,,
2,1,2010,,
2,1,2009,,
2,1,2009,,
2,1,2006,,
2,1,2006,,
2,1,2006,,
2,1,2005,,
2,1,2004,,
2,1,2004,,
2,,2018,,
2,,2018,,
2,,2017,,
2,,2017,,
2,,2017,,
2,,2017,,
2,,2017,,
2,,2017,,
2,,2017,,
2,,2017,,
2,,2017,,
2,,2016,,
2,,2016,,
2,,2016,,
2,,2016,,
2,,2015,,
2,,2015,,
2,,2015,,
2,,2015,,
2,,2015,,
2,,2014,,
2,,2014,,
2,,2014,,
2,,2014,,
2,,2014,,
2,,2013,,
2,,2013,,
2,,2013,,
2,,2012,,
2,,2012,,
2,,2012,,
2,,2012,,
2,,2012,,
2,,2012,,
2,,2012,,
2,,2011,,
2,,2011,,
2,,2011,,
2,,2011,,
2,,2011,,
2,,2011,,
2,,2010,,
2,,2010,,
2,,2010,,
2,,2010,,
2,,2010,,
2,,2010,,
2,,2009,,
2,,2008,,
2,,2008,,
2,,2008,,
2,,2007,,
2,,2007,,
2,,2007,,
2,,2007,,
2,,2007,,
2,,2006,,
2,,2006,,
2,,2005,,
2,,2005,,
2,,2005,,
2,,2004,,
2,,2004,,
2,,2004,,
2,,2004,,
2,,2004,,
2,,2004,,
2,,2004,,
2,,2004,,
2,,2003,,
2,,2001,,
2,,1999,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
3,287,2002,,
3,69,2001,,
3,47,2005,,
3,29,2013,,
3,28,2005,,
3,26,2005,,
3,25,2009,,
3,20,2006,,
3,15,2011,,
3,15,2010,,
3,13,2012,,
3,12,2010,,
3,11,2015,,
3,10,2016,,
3,10,2010,,
3,8,2014,,
3,8,2014,,
3,8,2008,,
3,5,2011,,
3,5,2003,,
3,4,2012,,
3,4,2010,,
3,2,2010,,
3,2,2007,,
3,2,2005,,
3,2,2004,,
3,1,2016,,
3,1,2016,,
3,1,2015,,
3,1,2015,,
3,1,2009,,
3,1,,,
3,,2017,,
3,,2017,,
3,,2017,,
3,,2017,,
3,,2016,,
3,,2014,,
3,,2013,,
3,,2013,,
3,,2012,,
3,,2012,,
3,,2011,,
3,,2010,,
3,,2010,,
3,,2010,,
3,,2010,,
3,,2009,,
3,,2009,,
3,,2008,,
3,,2008,,
3,,2008,,
3,,2007,,
3,,2003,,
3,,1999,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
4,2275,2000,,
4,451,2013,,
4,241,2000,,
4,194,2001,,
4,130,1997,,
4,112,2002,,
4,101,1999,,
4,70,1998,,
4,68,2003,,
4,68,2003,,
4,58,2011,,
4,58,2004,,
4,54,1999,,
4,53,2002,,
4,51,1998,,
4,41,1998,,
4,32,1992,,
4,30,2003,,
4,29,2006,,
4,29,2006,,
4,29,1996,,
4,27,1998,,
4,25,1999,,
4,24,2016,,
4,22,1999,,
4,21,2000,,
4,20,2002,,
4,19,2008,,
4,18,2004,,
4,16,1999,,
4,15,2015,,
4,15,2000,,
4,14,2004,,
4,14,2004,,
4,14,2000,,
4,14,1998,,
4,14,1995,,
4,13,2008,,
4,11,2015,,
4,11,2008,,
4,11,2008,,
4,11,2007,,
4,11,2001,,
4,11,1998,,
4,11,1995,,
4,11,1992,,
4,10,2016,,
4,10,2001,,
4,10,1994,,
4,9,2002,,
4,9,1998,,
4,7,2013,,
4,7,2012,,
4,7,2002,,
4,6,1998,,
4,6,1995,,
4,5,2017,,
4,5,2006,,
4,5,2001,,
4,5,1999,,
4,5,1992,,
4,4,2001,,
4,3,2016,,
4,3,2013,,
4,3,2009,,
4,3,2002,,
4,3,2001,,
4,3,2001,,
4,3,1998,,
4,3,1998,,
4,3,1991,,
4,2,2017,,
4,2,2012,,
4,2,2012,,
4,2,2012,,
4,2,2010,,
4,2,2009,,
4,2,2006,,
4,2,2004,,
4,2,2004,,
4,2,2002,,
4,2,2001,,
4,2,2001,,
4,2,1998,,
4,2,1998,,
4,2,1997,,
4,2,1997,,
4,2,1994,,
4,1,2015,,
4,1,2014,,
4,1,2014,,
4,1,2012,,
4,1,2009,,
4,1,2008,,
4,1,2007,,
4,1,2006,,
4,1,2006,,
4,1,2004,,
4,1,2000,,
4,1,1998,,
4,1,1998,,
4,1,1998,,
4,1,1992,,
4,,2016,,
4,,2016,,
4,,2015,,
4,,2015,,
4,,2015,,
4,,2014,,
4,,2013,,
4,,2013,,
4,,2013,,
4,,2012,,
4,,2012,,
4,,2012,,
4,,2011,,
4,,2011,,
4,,2009,,
4,,2009,,
4,,2008,,
4,,2008,,
4,,2008,,
4,,2008,,
4,,2008,,
4,,2007,,
4,,2007,,
4,,2006,,
4,,2006,,
4,,2006,,
4,,2006,,
4,,2004,,
4,,2003,,
4,,2002,,
4,,2002,,
4,,2001,,
4,,2001,,
4,,2001,,
4,,2000,,
4,,2000,,
4,,2000,,
4,,1999,,
4,,1999,,
4,,1999,,
4,,1998,,
4,,1998,,
4,,1997,,
4,,1997,,
4,,1997,,
4,,1996,,
4,,1995,,
4,,1995,,
4,,1994,,
4,,1991,,
4,,1991,,
