,Unnamed: 0,articles,date,volume,year
0,0,6,['February 2013'],1,2013.0
1,1,6,['August 2013'],2,2013.25
2,2,5,['November–December 2013'],3,2013.5
3,3,5,['November–December 2013'],4,2013.75
4,4,4,['July 2014'],5,2014.0
5,5,2,['October 2014'],6,2014.25
6,6,10,['November-December 2014'],7,2014.5
7,7,10,['November-December 2014'],8,2014.75
8,8,3,['March 2015'],9,2015.0
9,9,25,['April-June 2015'],10,2015.25
10,11,21,['September 2015'],12,2015.5
11,12,11,['November 2015'],13,2015.75
12,13,2,['January 2016'],14,2016.0
13,14,5,['April 2016'],15,2016.25
14,15,15,['July 2016'],16,2016.5
15,16,5,['October 2016'],17,2016.75
16,17,4,['January 2017'],18,2017.0
17,18,6,['April 2017'],19,2017.25
18,19,14,['July 2017'],20,2017.5
19,20,0,['October 2017'],21,2017.75
