,url
0,https://www.sciencedirect.com/science/article/pii/S2213133712000029
1,https://www.sciencedirect.com/science/article/pii/S2213133712000042
2,https://www.sciencedirect.com/science/article/pii/S2213133712000030
3,https://www.sciencedirect.com/science/article/pii/S2213133713000024
4,https://www.sciencedirect.com/science/article/pii/S2213133713000036
5,https://www.sciencedirect.com/science/article/pii/S2213133713000048
6,https://www.sciencedirect.com/science/article/pii/S221313371300005X
7,https://www.sciencedirect.com/science/article/pii/S2213133713000073
8,https://www.sciencedirect.com/science/article/pii/S2213133713000061
9,https://www.sciencedirect.com/science/article/pii/S2213133713000085
10,https://www.sciencedirect.com/science/article/pii/S2213133713000206
11,https://www.sciencedirect.com/science/article/pii/S2213133713000231
12,https://www.sciencedirect.com/science/article/pii/S221313371300022X
13,https://www.sciencedirect.com/science/article/pii/S2213133713000218
14,https://www.sciencedirect.com/science/article/pii/S2213133713000243
15,https://www.sciencedirect.com/science/article/pii/S2213133713000255
16,https://www.sciencedirect.com/science/article/pii/S2213133713000267
17,https://www.sciencedirect.com/science/article/pii/S2213133713000279
18,https://www.sciencedirect.com/science/article/pii/S2213133713000280
19,https://www.sciencedirect.com/science/article/pii/S2213133713000292
20,https://www.sciencedirect.com/science/article/pii/S2213133713000486
21,https://www.sciencedirect.com/science/article/pii/S2213133713000498
22,https://www.sciencedirect.com/science/article/pii/S2213133713000504
23,https://www.sciencedirect.com/science/article/pii/S2213133713000516
24,https://www.sciencedirect.com/science/article/pii/S2213133713000528
25,https://www.sciencedirect.com/science/article/pii/S221313371400002X
34,https://www.sciencedirect.com/science/article/pii/S2213133714000092
35,https://www.sciencedirect.com/science/article/pii/S2213133714000109
36,https://www.sciencedirect.com/science/article/pii/S2213133714000110
37,https://www.sciencedirect.com/science/article/pii/S2213133714000122
38,https://www.sciencedirect.com/science/article/pii/S2213133714000134
39,https://www.sciencedirect.com/science/article/pii/S2213133714000158
40,https://www.sciencedirect.com/science/article/pii/S2213133714000146
41,https://www.sciencedirect.com/science/article/pii/S2213133714000171
42,https://www.sciencedirect.com/science/article/pii/S221313371400016X
43,https://www.sciencedirect.com/science/article/pii/S2213133714000183
44,https://www.sciencedirect.com/science/article/pii/S2213133714000286
45,https://www.sciencedirect.com/science/article/pii/S2213133714000316
46,https://www.sciencedirect.com/science/article/pii/S2213133714000341
47,https://www.sciencedirect.com/science/article/pii/S2213133714000419
48,https://www.sciencedirect.com/science/article/pii/S2213133714000407
49,https://www.sciencedirect.com/science/article/pii/S2213133714000390
50,https://www.sciencedirect.com/science/article/pii/S2213133714000389
51,https://www.sciencedirect.com/science/article/pii/S2213133714000377
52,https://www.sciencedirect.com/science/article/pii/S2213133714000365
53,https://www.sciencedirect.com/science/article/pii/S2213133714000353
54,https://www.sciencedirect.com/science/article/pii/S221313371400033X
55,https://www.sciencedirect.com/science/article/pii/S2213133714000328
56,https://www.sciencedirect.com/science/article/pii/S2213133714000304
57,https://www.sciencedirect.com/science/article/pii/S2213133714000298
58,https://www.sciencedirect.com/science/article/pii/S2213133714000250
72,https://www.sciencedirect.com/science/article/pii/S2213133714000493
73,https://www.sciencedirect.com/science/article/pii/S221313371400050X
74,https://www.sciencedirect.com/science/article/pii/S2213133714000511
75,https://www.sciencedirect.com/science/article/pii/S2213133714000481
76,https://www.sciencedirect.com/science/article/pii/S2213133714000614
77,https://www.sciencedirect.com/science/article/pii/S2213133714000663
78,https://www.sciencedirect.com/science/article/pii/S2213133714000687
79,https://www.sciencedirect.com/science/article/pii/S2213133714000717
80,https://www.sciencedirect.com/science/article/pii/S2213133714000675
81,https://www.sciencedirect.com/science/article/pii/S2213133714000705
82,https://www.sciencedirect.com/science/article/pii/S2213133714000730
83,https://www.sciencedirect.com/science/article/pii/S2213133715000025
84,https://www.sciencedirect.com/science/article/pii/S2213133715000037
85,https://www.sciencedirect.com/science/article/pii/S2213133715000050
86,https://www.sciencedirect.com/science/article/pii/S2213133715000098
87,https://www.sciencedirect.com/science/article/pii/S2213133714000699
88,https://www.sciencedirect.com/science/article/pii/S2213133715000049
89,https://www.sciencedirect.com/science/article/pii/S2213133715000086
90,https://www.sciencedirect.com/science/article/pii/S221313371500013X
91,https://www.sciencedirect.com/science/article/pii/S2213133715000359
92,https://www.sciencedirect.com/science/article/pii/S2213133715000220
93,https://www.sciencedirect.com/science/article/pii/S2213133714000821
94,https://www.sciencedirect.com/science/article/pii/S2213133715000384
95,https://www.sciencedirect.com/science/article/pii/S2213133715000177
96,https://www.sciencedirect.com/science/article/pii/S2213133715000128
97,https://www.sciencedirect.com/science/article/pii/S2213133715000189
98,https://www.sciencedirect.com/science/article/pii/S2213133715000153
99,https://www.sciencedirect.com/science/article/pii/S2213133715000062
100,https://www.sciencedirect.com/science/article/pii/S2213133715000074
101,https://www.sciencedirect.com/science/article/pii/S2213133715000244
102,https://www.sciencedirect.com/science/article/pii/S2213133714000729
103,https://www.sciencedirect.com/science/article/pii/S2213133715000116
104,https://www.sciencedirect.com/science/article/pii/S2213133715000190
105,https://www.sciencedirect.com/science/article/pii/S2213133715000256
106,https://www.sciencedirect.com/science/article/pii/S2213133715000372
107,https://www.sciencedirect.com/science/article/pii/S2213133715000268
108,https://www.sciencedirect.com/science/article/pii/S2213133715000360
109,https://www.sciencedirect.com/science/article/pii/S2213133715000608
110,https://www.sciencedirect.com/science/article/pii/S2213133715000591
111,https://www.sciencedirect.com/science/article/pii/S2213133715000566
112,https://www.sciencedirect.com/science/article/pii/S2213133715000657
113,https://www.sciencedirect.com/science/article/pii/S2213133715000633
114,https://www.sciencedirect.com/science/article/pii/S221313371500058X
115,https://www.sciencedirect.com/science/article/pii/S2213133715000669
116,https://www.sciencedirect.com/science/article/pii/S2213133715000700
117,https://www.sciencedirect.com/science/article/pii/S2213133715000815
118,https://www.sciencedirect.com/science/article/pii/S2213133715000682
119,https://www.sciencedirect.com/science/article/pii/S2213133715000104
120,https://www.sciencedirect.com/science/article/pii/S221313371400064X
121,https://www.sciencedirect.com/science/article/pii/S221313371500061X
122,https://www.sciencedirect.com/science/article/pii/S2213133715000621
123,https://www.sciencedirect.com/science/article/pii/S2213133715000694
124,https://www.sciencedirect.com/science/article/pii/S2213133715000670
125,https://www.sciencedirect.com/science/article/pii/S2213133715000578
126,https://www.sciencedirect.com/science/article/pii/S2213133715000554
127,https://www.sciencedirect.com/science/article/pii/S2213133715000141
128,https://www.sciencedirect.com/science/article/pii/S2213133714000274
129,https://www.sciencedirect.com/science/article/pii/S2213133715000645
130,https://www.sciencedirect.com/science/article/pii/S2213133715000748
131,https://www.sciencedirect.com/science/article/pii/S2213133715000864
132,https://www.sciencedirect.com/science/article/pii/S2213133715000736
133,https://www.sciencedirect.com/science/article/pii/S2213133715000943
134,https://www.sciencedirect.com/science/article/pii/S2213133715000724
135,https://www.sciencedirect.com/science/article/pii/S2213133715000955
136,https://www.sciencedirect.com/science/article/pii/S221313371500092X
137,https://www.sciencedirect.com/science/article/pii/S2213133715001018
138,https://www.sciencedirect.com/science/article/pii/S2213133715000979
139,https://www.sciencedirect.com/science/article/pii/S2213133715000712
140,https://www.sciencedirect.com/science/article/pii/S2213133715000931
141,https://www.sciencedirect.com/science/article/pii/S2213133715000992
142,https://www.sciencedirect.com/science/article/pii/S2213133715000980
