,"articles","date","volume"
0,9,"['February 2013']",1
1,9,"['August 2013']",2
2,8,"['November–December 2013']",3
3,8,"['November–December 2013']",4
4,7,"['July 2014']",5
5,5,"['October 2014']",6
6,13,"['November-December 2014']",7
7,13,"['November-December 2014']",8
8,6,"['March 2015']",9
9,28,"['April-June 2015']",10
11,24,"['September 2015']",12
12,14,"['November 2015']",13
13,5,"['January 2016']",14
14,8,"['April 2016']",15
15,18,"['July 2016']",16
16,8,"['October 2016']",17
17,7,"['January 2017']",18
18,9,"['April 2017']",19
19,17,"['July 2017']",20
20,3,"['October 2017']",21
21,6,"['January 2018']",22
22,2,"['April 2018']",23
